"awardnum","award","awardpoints","location","datevalue","genus","species","clone","crossvalue","exhibitor","photographer","awardphoto","nsnum","nsvnum","dswnum","dslnum","petwnum","petlnum","lipwnum","liplnum","lswnum","lslnum","numflwrs","numbuds","numinfl","measurementtype","inflen","plantW","plantH","description"
20215304,"AM","80","Filoli Historic House","April 17, 2021","Cymbidium","Hazel's Dragon","Rose Cloud","(Cymbidium Hazel Tyers 'Santa Maria' x Cymbidium Satin Dragon 'Cinnabar')","Weegie Caughlan","None","20215304.jpg","10.4","8.0","4.2","7.0","3.9","6.0","4.0","4.8","4.0","5.4","19","4","2",1,"NA","NA","NA","Nineteen full well-proportioned flowers and four buds on two inflorescences, longest 70cm; sepals and petals pale green, fine maroon speckling, denser distally; unusual cream-colored lip, overlaid broad rose band distally, darkening to maroon band apically; column rose, ventral surface spotted burgundy, anther cap yellow; substance firm; texture matte."
20245281,"AM","82","Peninsula Orchid Society and Gold Coast Cymbidium Society Show","April 27, 2024","Cymbidium","Exeter Jadeite","Winston","(Cymbidium serratum x Cymbidium Eastern Venus)","Amy and Ken Jacobsen","Chaunie Langland","20245281.jpg","8.5","7.1","1.5","5.0","1.4","3.9","1.5","2.3","1.5","4.8","4","0","2",1,"NA","NA","NA","Four starry flowers on two upright 11-cm inflorescences; sepals and petals soft light green, petals slightly porrect; lip cream, keels light yellow, midlobe lightly flushed pink laterally, light green apically; column light green, speckled maroon ventrally, anther cap cream; substance firm; texture matte."
20225264,"AM","82","San Francisco","December 6, 2022","Barkeria","Mary Kay Krell","Eric Langland","(Barkeria Glyn Marsh x Barkeria Rosetta Marsh)","Chaunie Langland","Ken Jacobsen","20225264.jpg","4.7","4.4","1.0","1.9","1.8","2.1","2.1","2.3","1.1","2.6","5","5","1",1,"NA","NA","NA","Five flowers and five buds on a 47-cm inflorescence; sepals and petals cream, uniformly flushed light pink; lip spatulate, white veined dark magenta distal half; column pale yellow, uniform magenta speckels, anther cap light yellow; substance medium; texture crystalline."
20162307,"AM","88","Pacific Orchid Exposition","February 25, 2016","Paphiopedilum","sukhakulii","Spotted Duo","species","John Chant","None","20162307.jpg","17.0","12.0","5.0","5.6","2.7","8.1","3.5","6.6","3.6","5.3","1","0","1",0,"NA","NA","NA","One flat, large, proportional flower on one inflorescence; sepals white, veined and blushed green; petals chartreuse, evenly spotted mahogany; pouch white, veined and darkly overlaid mahogany; staminode white, reticulated green; substance firm; texture glossy."
20225328,"AM","85","Filoli Historic House","May 21, 2022","Sarcochilus","Kulnura Snowflake","Elkhorn","(Sarcochilus Kulnura Vision x Sarcochilus Heidi)","Andy Cameron","Chaunie Langland","None","3.1","3.0","1.5","1.8","1.1","1.7","0.5","0.6","1.3","1.8","30","72","9",1,"NA","NA","NA","Thirty well balanced flat flowers and 72 buds on nine up to 20.5-cm inflorescences; sepals and petals white; lip white overlaid light yellow, banded orange near tip, side lobes speckled orange; column and anther cap cream; substance firm; texture diamond dust."
20174174,"HCC","77","Oakland","November 20, 2017","Cattleya","Bright Circle","Grass Valley","(Cattleya Bright Angel x Cattleya Circle of Life)","Ted McClellan","None","20174174.jpg","9.3","9.2","2.2","4.9","4.3","4.8","2.2","2.6","2.0","4.6","2","0","1",1,"NA","NA","NA","Two flowers on one inflorescence; sepals and petals orange-red; lip red, dark red venations, center bright yellow; substance firm; texture crystalline."
20162369,"CCM","84","San Francisco","Sep 6, 2016","Masdevallia","pumila","Gilbert","species","Carol Zoltowski","None","20162369.jpg","7.0","7.0","0.3","4.6","NM","NM","NM","NM","0.4","4.6","110","0","110",1,"NA","NA","NA","One hundred ten flowers on 110 inflorescences on a well-grown plant; flowers cream white; substance thin; texture matte.  Condition of flowers precluded a higher score."
20245356,"AM","82","Pacific Orchid Exposition","February 15, 2024","Dracula","hirtzii","Alex","species","Joe Parker","Ken Jacobsen","20245356.jpg","15.5","25.0","3.2","11.8","minute","minute","1.2","1.2","3.5","13.6","1","1","2",1,"NA","NA","NA","One flat hanging flower and one bud on two pendulous inflorescences up to 18 cm; sepals cream, suffused brown, more laterally, spotted dark brown overall, caudae brown basally to red-brown apically; petals minute, cream, brown centrally; lip cream; substance medium-firm; texture downy."
20174142,"AM","82","San Francisco","August 1, 2017","Paphiopedilum","rothschildianum","Tiny Jungle","species","Chris Mende","None","20174142.jpg","26.0","12.5","6.0","6.4","1.5","14.5","3.0","6.0","4.5","8.5","5","0","1",0,"NA","NA","NA","Five large flowers on one inflorescence; sepals and petals chartreuse, intensely striped dark mahogany, petals hirsute at margins; pouch chartreuse overlaid dark cordovan; stamnode hirsute, light chartreuse; substance firm; texture waxy."
20215318,"HCC","75","Filoli Historic House","May 15, 2021","Paphiopedilum","Cascading Henry","Catawba","(Paphiopedilum Cascading Pink x Paphiopedilum henryanum)","Dave Sorokowsky","None","20215318.jpg","13.2","8.9","5.0","4.9","1.7","8.2","2.7","5.2","2.8","4.6","1","5","2",0,"NA","NA","NA","One flower and two buds on an 8.5-cm inflorescence, juvenile inflorescence 3 buds; dorsal sepal chartreuse, mahogany spots coalescing into bars; synsepal chartreuse; petals twisted, chartreuse basal one-third transitioning to light brown distal two-thirds, spotted dark brown, hirsute marginally; pouch green overlaid rose-pink; staminode hirsute, green marginally, brown centrally; substance firm; texture matte."
